"","DATE","PERIOD","R","PLANETDISCMETH","numPlanets"
"2480",2014,6.029809,0.118655,"Transit",769
"2481",2016,0.90037648,0.07,"Transit",1288
"2482",2016,1.4444538,0.105,"Transit",1288
"2483",2016,4.08899022,0.145,"Transit",1288
"2485",2016,5.21104261,0.095,"Transit",1288
"2486",2015,1.4013794,1.3,"Transit",27
"2487",2012,12.04,0.211,"Transit",54
"2488",2014,15.906801,0.227496,"Transit",769
"2489",2014,48.630408,0.235525,"Transit",769
"2490",2016,24.54350418,0.314,"Transit",1288
"2491",2016,11.1726994,0.111,"Transit",1288
"2493",2016,58.6017925,0.185,"Transit",1288
"2494",2016,18.82634264,0.211,"Transit",1288
"2495",2014,16.088134,0.301543,"Transit",769
"2496",2016,56.35418576,0.211,"Transit",1288
"2497",2016,85.273256,0.262,"Transit",1288
"2498",2014,151.884058,0.25426,"Transit",769
"2500",2014,7.466623,0.124008,"Transit",769
"2501",2016,105.144749,0.252,"Transit",1288
"2502",2016,6.89225223,0.142,"Transit",1288
"2503",2014,11.634788,0.13739,"Transit",769
"2504",2016,40.6069821,0.235,"Transit",1288
"2505",2016,15.37563332,0.908,"Transit",1288
"2506",2016,51.3285623,0.237,"Transit",1288
"2507",2016,15.9870174,0.16,"Transit",1288
"2508",2016,4.18200253,0.222,"Transit",1288
"2509",2010,86.647661,0.94,"Transit",66
"2512",2015,2.766741,1.039,"Transit",27
"2513",2011,8.884924,1.03,"Transit",122
"2514",2014,4.580358,0.1249,"Transit",769
"2515",2016,1.90220856,0.383,"Transit",1288
"2516",2016,115.6862258,0.285,"Transit",1288
"2517",2014,7.113702,0.134713,"Transit",769
"2518",2016,2.13194651,0.138,"Transit",1288
"2519",2016,3.58410122,0.408,"Transit",1288
"2520",2013,27.402,0.339,"Timing",4
"2522",2014,16.514043,0.247123,"Transit",769
"2523",2011,4.942782,0.96,"Transit",122
"2525",2016,8.50699658,0.15,"Transit",1288
"2526",2016,2.21571036,0.148,"Transit",1288
"2527",2014,30.184104,0.362209,"Transit",769
"2528",2016,13.2140732,0.258,"Transit",1288
"2529",2014,5.524242,0.186457,"Transit",769
"2530",2014,88.255055,0.213222,"Transit",769
"2531",2014,8.96855,0.215006,"Transit",769
"2532",2016,10.71252541,0.19,"Transit",1288
"2533",2012,5.35227,1.17,"Transit",54
"2536",2016,15.86621821,0.107,"Transit",1288
"2537",2016,2.03387914,0.068,"Transit",1288
"2538",2011,11.8681707,0.100246,"Transit",122
"2539",2014,1.54168,0.177536,"Transit",769
